user_id,genre,playtime_forever
Sp3ctre,Action,1699307
REBAS_AS_F-T,Adventure,2191551
ScottyG555,Animation &amp; Modeling,168314
Lickidactyl,Audio Production,109916
REBAS_AS_F-T,Casual,1224933
ScottyG555,Design &amp; Illustration,168314
76561197978756659,Early Access,316969
76561198059330972,Education,65427
idonothack,Free to Play,808241
REBAS_AS_F-T,Indie,2402994
Evilutional,Massively Multiplayer,688260
Sky_Wolf,Photo Editing,21885
shinomegami,RPG,1060592
DownSyndromeKid,Racing,743445
76561198063648921,Simulation,1203954
Lickidactyl,Software Training,109916
29123,Sports,252888
shinomegami,Strategy,1141546
76561198073642113,Utilities,207651
ScottyG555,Video Production,168314
Xyphien,Web Publishing,142964
